"","lon","lat","anom"
"275",292.5,-72.5,1.61000001430511
"276",297.5,-72.5,0.870000004768372
"277",302.5,-72.5,NA
"278",307.5,-72.5,NA
"279",312.5,-72.5,NA
"280",317.5,-72.5,NA
"281",322.5,-72.5,NA
"282",327.5,-72.5,NA
"283",332.5,-72.5,NA
"284",337.5,-72.5,NA
"285",342.5,-72.5,NA
"286",347.5,-72.5,NA
"287",352.5,-72.5,0.800000011920929
"288",357.5,-72.5,0.270000010728836
"289",2.5,-67.5,-0.47741487622261
"290",7.5,-67.5,-0.5136998295784
"291",12.5,-67.5,-0.426729142665863
"292",17.5,-67.5,-0.272711098194122
"293",22.5,-67.5,-0.180816099047661
"294",27.5,-67.5,-0.104851245880127
"295",32.5,-67.5,-0.203997135162354
"296",37.5,-67.5,0.409999996423721
"297",42.5,-67.5,NA
"298",47.5,-67.5,0.0799999982118607
"299",52.5,-67.5,NA
"300",57.5,-67.5,NA
"301",62.5,-67.5,0.119999997317791
"302",67.5,-67.5,-0.104527145624161
"303",72.5,-67.5,NA
"304",77.5,-67.5,0.236679688096046
"305",82.5,-67.5,NA
"306",87.5,-67.5,NA
"307",92.5,-67.5,1.4099999666214
"308",97.5,-67.5,NA
"309",102.5,-67.5,NA
"310",107.5,-67.5,NA
"311",112.5,-67.5,1.44000005722046
"312",117.5,-67.5,NA
"313",122.5,-67.5,NA
"314",127.5,-67.5,NA
"315",132.5,-67.5,NA
"316",137.5,-67.5,0.569999992847443
"317",142.5,-67.5,0.0399999991059303
"318",147.5,-67.5,NA
"319",152.5,-67.5,NA
"320",157.5,-67.5,NA
"321",162.5,-67.5,NA
"322",167.5,-67.5,NA
"323",172.5,-67.5,-0.0865954756736755
"324",177.5,-67.5,-0.0176896899938583
"325",182.5,-67.5,-0.0463496446609497
"326",187.5,-67.5,-0.166273638606071
"327",192.5,-67.5,-0.255748212337494
"328",197.5,-67.5,-0.316604375839233
"329",202.5,-67.5,-0.428251624107361
"330",207.5,-67.5,-0.473134458065033
"331",212.5,-67.5,-0.484841823577881
"332",217.5,-67.5,-0.431363999843597
"333",222.5,-67.5,-0.414644598960876
"334",227.5,-67.5,-0.28009557723999
"335",232.5,-67.5,-0.268713384866714
"336",237.5,-67.5,-0.197808459401131
"337",242.5,-67.5,-0.124478302896023
"338",247.5,-67.5,-0.0645538419485092
"339",252.5,-67.5,0.014955498278141
"340",257.5,-67.5,0.151447281241417
"341",262.5,-67.5,0.220768183469772
"342",267.5,-67.5,0.250222027301788
"343",272.5,-67.5,0.136668547987938
"344",277.5,-67.5,0.0972862392663956
"345",282.5,-67.5,0.00949034933000803
"346",287.5,-67.5,-0.0441476181149483
"347",292.5,-67.5,-0.0443021953105927
"348",297.5,-67.5,-0.225116431713104
"349",302.5,-67.5,NA
"350",307.5,-67.5,NA
"351",312.5,-67.5,NA
"352",317.5,-67.5,NA
"353",322.5,-67.5,-0.194812908768654
"354",327.5,-67.5,-0.130373790860176
"355",332.5,-67.5,-0.153345465660095
"356",337.5,-67.5,-0.158705323934555
"357",342.5,-67.5,-0.120913103222847
"358",347.5,-67.5,-0.149685591459274
"359",352.5,-67.5,-0.259972929954529
"360",357.5,-67.5,-0.361352175474167
"361",2.5,-62.5,-0.285908669233322
"362",7.5,-62.5,-0.280149400234222
"363",12.5,-62.5,-0.275595843791962
"364",17.5,-62.5,-0.233452841639519
"365",22.5,-62.5,-0.169976502656937
"366",27.5,-62.5,-0.0831540375947952
"367",32.5,-62.5,-0.0373473428189754
"368",37.5,-62.5,0.0498403310775757
"369",42.5,-62.5,0.0961861610412598
"370",47.5,-62.5,0.093276709318161
"371",52.5,-62.5,0.101126052439213
"372",57.5,-62.5,0.155259355902672
"373",62.5,-62.5,0.171334236860275
"374",67.5,-62.5,0.128757923841476
"375",72.5,-62.5,0.124644696712494
"376",77.5,-62.5,0.187824457883835
"377",82.5,-62.5,0.180062487721443
"378",87.5,-62.5,0.215910211205482
"379",92.5,-62.5,0.240580171346664
"380",97.5,-62.5,0.082227423787117
"381",102.5,-62.5,0.226112499833107
"382",107.5,-62.5,0.265405893325806
"383",112.5,-62.5,0.23749603331089
"384",117.5,-62.5,0.180754601955414
"385",122.5,-62.5,0.163774147629738
"386",127.5,-62.5,0.157458573579788
"387",132.5,-62.5,0.0959459841251373
"388",137.5,-62.5,-0.019711347296834
"389",142.5,-62.5,-0.0507274530827999
"390",147.5,-62.5,-0.0100873615592718
"391",152.5,-62.5,0.00979506783187389
"392",157.5,-62.5,0.11516647785902
"393",162.5,-62.5,0.215916126966476
"394",167.5,-62.5,0.310703635215759
"395",172.5,-62.5,0.388258993625641
"396",177.5,-62.5,0.430390894412994
"397",182.5,-62.5,0.368790984153748
"398",187.5,-62.5,0.283509194850922
"399",192.5,-62.5,0.227312058210373
"400",197.5,-62.5,0.227154329419136
"401",202.5,-62.5,0.125925034284592
"402",207.5,-62.5,0.074140377342701
"403",212.5,-62.5,0.0915408283472061
"404",217.5,-62.5,0.147565603256226
"405",222.5,-62.5,0.164112880825996
"406",227.5,-62.5,0.171871840953827
"407",232.5,-62.5,0.122227773070335
"408",237.5,-62.5,0.115622438490391
"409",242.5,-62.5,0.222031354904175
"410",247.5,-62.5,0.289610236883163
"411",252.5,-62.5,0.370708048343658
"412",257.5,-62.5,0.497560232877731
"413",262.5,-62.5,0.607372581958771
"414",267.5,-62.5,0.624269008636475
"415",272.5,-62.5,0.567147850990295
"416",277.5,-62.5,0.476907700300217
"417",282.5,-62.5,0.410942107439041
"418",287.5,-62.5,0.408442914485931
"419",292.5,-62.5,0.335181474685669
"420",297.5,-62.5,0.149251669645309
"421",302.5,-62.5,0.0585383884608746
"422",307.5,-62.5,-0.517369329929352
"423",312.5,-62.5,-0.426212430000305
"424",317.5,-62.5,-0.166787147521973
"425",322.5,-62.5,-0.226185962557793
"426",327.5,-62.5,-0.221804827451706
"427",332.5,-62.5,-0.227290570735931
"428",337.5,-62.5,-0.230967015028
"429",342.5,-62.5,-0.208816230297089
"430",347.5,-62.5,-0.190565541386604
"431",352.5,-62.5,-0.204086005687714
"432",357.5,-62.5,-0.230322614312172
"433",2.5,-57.5,-0.147390142083168
"434",7.5,-57.5,-0.16054555773735
"435",12.5,-57.5,-0.183748200535774
"436",17.5,-57.5,-0.168438851833344
"437",22.5,-57.5,-0.113978557288647
"438",27.5,-57.5,-0.0783889070153236
"439",32.5,-57.5,-0.0506733395159245
"440",37.5,-57.5,-0.0306473132222891
"441",42.5,-57.5,-0.0211993735283613
"442",47.5,-57.5,0.00132349436171353
"443",52.5,-57.5,0.0235306303948164
"444",57.5,-57.5,0.0395162962377071
"445",62.5,-57.5,0.0203520599752665
"446",67.5,-57.5,0.0104379570111632
"447",72.5,-57.5,0.036503940820694
"448",77.5,-57.5,0.133120104670525
"449",82.5,-57.5,0.205805823206902
"450",87.5,-57.5,0.297305464744568
"451",92.5,-57.5,0.389482825994492
"452",97.5,-57.5,0.462933093309402
"453",102.5,-57.5,0.510275363922119
"454",107.5,-57.5,0.580444693565369
"455",112.5,-57.5,0.580396711826324
"456",117.5,-57.5,0.54841536283493
"457",122.5,-57.5,0.523425102233887
"458",127.5,-57.5,0.393516778945923
"459",132.5,-57.5,0.209859415888786
"460",137.5,-57.5,0.0863517448306084
"461",142.5,-57.5,0.079560324549675
"462",147.5,-57.5,0.107823193073273
"463",152.5,-57.5,0.140411958098412
"464",157.5,-57.5,0.292723327875137
"465",162.5,-57.5,0.430976390838623
"466",167.5,-57.5,0.494347155094147
"467",172.5,-57.5,0.555669546127319
"468",177.5,-57.5,0.660682857036591
"469",182.5,-57.5,0.65193510055542
"470",187.5,-57.5,0.680532991886139
"471",192.5,-57.5,0.726792752742767
"472",197.5,-57.5,0.788160562515259
"473",202.5,-57.5,0.746387422084808
"474",207.5,-57.5,0.670890510082245
"475",212.5,-57.5,0.64409863948822
"476",217.5,-57.5,0.513775289058685
"477",222.5,-57.5,0.330258876085281
"478",227.5,-57.5,0.187438458204269
"479",232.5,-57.5,0.0106154577806592
"480",237.5,-57.5,-0.0397457480430603
"481",242.5,-57.5,0.11326626688242
"482",247.5,-57.5,0.185511380434036
"483",252.5,-57.5,0.234144911170006
"484",257.5,-57.5,0.364151537418365
"485",262.5,-57.5,0.462124943733215
"486",267.5,-57.5,0.483290374279022
"487",272.5,-57.5,0.475258201360703
"488",277.5,-57.5,0.445387274026871
"489",282.5,-57.5,0.436860382556915
"490",287.5,-57.5,0.500909626483917
"491",292.5,-57.5,0.498509466648102
"492",297.5,-57.5,0.437892615795135
"493",302.5,-57.5,0.459427684545517
"494",307.5,-57.5,0.421153098344803
"495",312.5,-57.5,0.363076627254486
"496",317.5,-57.5,0.262728363275528
"497",322.5,-57.5,0.127741873264313
"498",327.5,-57.5,0.000308061600662768
